Country,State,Year,Food Grains Allocated (UOM:MT(Metrictonne)),Ration Cards Issued (UOM:Number),Transaction For Ration Cards (UOM:Number),Aadhaar Authenticated Transactions (UOM:Number),Aadhaar Authenticated Transactions (%) (UOM:%(Percentage)),Epos (Electronic Point Of Sale System) Distribution Of Food Grains (UOM:MT(Metrictonne)),Manual Distribution Of Food Grains (UOM:MT(Metrictonne)),Distribution Of Food Grains (UOM:MT(Metrictonne))
India,Goa,"Calendar Year (Jan - Dec), 2018",2856.63,139388,4286,2719,63.44,93.92,2415.96,2509.87
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2021",451.98,60244,47198,47198,100,1216.24,0,1216.24
India,Bihar,"Calendar Year (Jan - Dec), 2019",457821.73,24639,20595,11580,56.23,625.94,446766.71,447392.65
India,Gujarat,"Calendar Year (Jan - Dec), 2018",198288.02,7142366,5977991,1495353,25.01,166437.86,0,166437.86
India,West Bengal,"Calendar Year (Jan - Dec), 2019",330516.44,46671066,10691985,0,0,128535.94,200358.85,328894.79
India,Tripura,"Calendar Year (Jan - Dec), 2018",13761.1,577110,537923,537923,100,12564.69,870.26,13434.95
India,Delhi,"Calendar Year (Jan - Dec), 2019",37572.75,1719809,0,0,0,0,31270.6,31270.6
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",16857.47,674900,645139,510881,79.19,15207.92,1836.82,17044.74
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",811798.34,34189943,9935661,8892721,89.5,231506.26,492765.07,724271.33
India,Manipur,"Calendar Year (Jan - Dec), 2021",12461.24,539350,477946,2417,0.51,9348.72,1890.58,11239.3
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",115338,5281709,5183310,508150,9.8,113838.21,2510.24,116348.45
India,Odisha,"Calendar Year (Jan - Dec), 2021",179926.06,9270560,8927186,8021663,89.86,179609.24,0,179609.24
India,Nagaland,"Calendar Year (Jan - Dec), 2020",7632.11,283674,248323,89921,36.21,6333.91,81.62,6415.53
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2017",4677.46,10331,0,0,0,0,266.42,266.42
India,Delhi,"Calendar Year (Jan - Dec), 2019",37572.75,1739598,0,0,0,0,315788.73,315788.73
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",594078.22,11132860,9962321,9541288,95.77,467159.36,174.08,467333.44
India,Tripura,"Calendar Year (Jan - Dec), 2018",13761.1,578104,540180,540180,100,12632.05,835.43,13467.48
India,Meghalaya,"Calendar Year (Jan - Dec), 2019",10800.27,1305,806,0,0,20.12,11696.35,11716.47
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021",4677.46,176998,128260,9912,7.73,3452.54,1280.83,4733.37
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2019",38927.63261,1640100.541,26371.33987,249.4229319,0.95,483.4990176,29332.86061,29816.35963
India,Manipur,"Calendar Year (Jan - Dec), 2020",12461.24,598172,393406,440,0.11,8886.09,5460.46,14346.55
